Term,txt5.txt,file5.txt,file3.txt,file2.txt,f2.txt,txt1.txt,txt3.txt,f6.txt,f4.txt,file1.txt,file4.txt,txt2.txt,f1.txt,f3.txt,txt6.txt,f5.txt,txt4.txt
حير,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
فا,0.007109020718803715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04174173662698651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
شار,0.005015473080418507,0.0,0.0037654628665295866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017684616063903405,0.0037424325126058583,0.0,0.0,0.0,0.0,0.0
عرب,0.008894993747559378,0.0,0.0,0.0044248286939948785,0.0,0.0035638398594490775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
مصلح,0.002964997915853126,0.0,0.0,0.0,0.0,0.0035638398594490775,0.002946881838974186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تسو,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
لضم,0.0035545103594018575,0.0,0.010674468033157579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تعويض,0.032614977074384384,0.0,0.0,0.0,0.0,0.0,0.002946881838974186,0.0,0.0,0.0,0.0,0.0044248286939948785,0.0,0.0,0.0,0.0,0.0
حادث,0.010663531078205573,0.00640074190180113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تحاليل,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
رفع,0.005015473080418507,0.0,0.0,0.0,0.0,0.0,0.0,0.00963602702064658,0.0,0.0,0.010610769638342041,0.03742432512605858,0.0,0.0,0.0,0.0,0.0
تطور,0.008770762965148652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
مبد,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025066489239712517,0.0,0.0,0.0,0.0,0.0,0.0
حلول,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ستثنا,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تكو,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.003532792373499198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ذو,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
مال,0.005015473080418507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003536923212780681,0.029939460100846867,0.0,0.0,0.04034424499853129,0.0,0.0
لطيف,0.008770762965148652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
نماذج,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تامين,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
داار,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ابقا,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
وهزال,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ثالث,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.0,0.013658276026678002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب,0.0025077365402092536,0.0,0.0,0.0037424325126058583,0.0,0.0,0.0,0.0,0.0,0.0032721268225190257,0.0,0.0,0.0,0.0,0.004482693888725698,0.0,0.0
ادا,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026281834172547067,0.0,0.0,0.0
شان,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
فرضت,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
رقم,0.005929995831706252,0.0,0.0,0.0,0.0,0.0,0.020628172872819303,0.0,0.0,0.0,0.0,0.0044248286939948785,0.0,0.0,0.0,0.0,0.0
رسيخ,0.0035545103594018575,0.0,0.005337234016578789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تفسير,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
د,0.002964997915853126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837096044973187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010335135592402324
ر,0.002964997915853126,0.0,0.0,0.0,0.0,0.0,0.0,0.022786125715532683,0.0,0.0,0.002090923385746135,0.0,0.0,0.0,0.0,0.0,0.0
ركيز,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025066489239712517,0.0,0.0,0.0,0.0,0.0,0.0
تعديل,0.024881572515813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004637970736331835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
يشرح,0.008770762965148652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
وجوب,0.010663531078205573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025066489239712517,0.0,0.0,0.0,0.0,0.0,0.0
وحيد,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
انفاق,0.013156144447722977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تفاقم,0.0035545103594018575,0.00640074190180113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
هادف,0.0035545103594018575,0.0,0.0,0.0,0.0,0.004272416392581543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اجال,0.0035545103594018575,0.0,0.0,0.0,0.0,0.0,0.003532792373499198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
حصول,0.004385381482574326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
